sent,codes,test
"""Log4j 2.0 provides an adaptation layer for log4j 1.x which at present time (2012-08) is URL_http://logging.apache.org/log4j/2.x/log4j12-api/api.html [CODETERM1] .""","[""'Compatibility'""]",0.433571664
"""If you create many web applications, it might be worth creating a maven archetype that lets you quickly get a new basic application up and running so you can start coding with all the initial structure already in place.""","[""'Others'""]",0.159236613
""" Debugger**Debug a Swing GUI application without looking into the source code and control the execution flow in terms of high-level structures.""","[""'Others'""]",0.063579472
"""Charsets.UTF_8) for the CODETERM1 isn't necessary, but it is generally a good idea to specify the encoding if you know it (which you should!""","[""'Usability'""]",0.860338136
"""But for generic tasks (for example: find person names in any web page on the internet), you need a lot of experience, tools, and man-power to get satisfactory results.""","[""'Usability'""]",0.083184019
"""I'm almost surprised that we haven't been able to find some Spring feature to help us out here.""","[""'Usability'""]",0.353360876
"""Not to mention the jars are up to 700KB.""","[""'Usability'""]",0.201014538
"""Just to clarify, I'm talking about Java's built-in collection so I can't override its CODETERM4 .""","[""'Usability'""]",0.259449343
"""I'll post our findings here once we've done that job.""","[""'Others'""]",0.930365746
"""TurnOnDebuggerException can be any exception guaranteed not to be thrown anywhere else.""","[""'Bug'""]",0.844066224
""" awt does not work faster.""","[""'Performance'""]",0.445190681
"""Ohh because I am looking at the Tomcat logs, and not log4j.""","[""'Others'""]",0.105862274
"""Server sends messages up there - right?""","[u""'Others'""]",0.105226558
"""This function is corrupting my input stream.""","[""'Bug'""]",0.553942895
"""It renders UI using Java2D, thus minimizing the impact of (IMO, bloated) legacies of Swing and AWT.""","[""'Usability'""]",0.834948798
"""I just use AWT and Swing and I can do almost everythig, so thumbs up for them :).""","[""'Usability'""]",0.135957585
"""The current state of the MDC is attached to every event.""","[""'Others'""]",0.631806404
"""This is for server-side use, I'm mostly interested in performance for many concurrent gets and large file transfers.""","[""'Performance'""]",0.487531948
"""CODESNIPPET_JAVA1 .""","[""'Others'""]",0.548941508
"""URL_https://www.google.ch/webhp?sourceid=chrome-instant&ie=UTF-8#hl=en&output=search&sclient=psy-ab&q=jgoodies%20tutorial [Google-to-the-rescue] .""","[""'Others'""]",0.347610667
"""You can consider using memory-mapped files, via URL_http://java.sun.com/javase/6/docs/api/java/nio/channels/FileChannel.html [FileChannel] s .""","[""'Performance'""]",0.900219157
"""A best practice is to initialize the CODETERM17 a little bit larger than you think you are going to need if you don't know right off hand how big the CODETERM18 will be but you can guess.""","[""'Usability'""]",0.427028387
"""I've used both JOOQ and QueryDSL.""","[""'Usability'""]",0.327237653
"""As soon as you touch the layout builder again it could destroy their work and then you have a broken GUI.""","[""'Bug'""]",0.566217493
""" Look and Feel: Even when Swing components are set to use the look and feel of the OS they are run on, they may not look like their native counterparts.""","[""'Portability'""]",0.222278237
"""We're still not quite there, but we have tried a few things now and see things more clearly.""","[""'Usability'""]",0.396051498
"""I'd like to point out 2 more options: URL_http://restfulie.caelum.com.br/ [Restfulie] , based on the VRaptor web framework, has both server and client side implementations with very good Hypermedia support.""","[""'Usability'""]",0.847812465
"""I'd like to develop an app for GAE but later deploy it on my own server, but I do not want to have to rewrite the db code.""","[""'Others'""]",0.317908379
"""While deserializing, Gson can automatically convert JSON arrays to collections or arrays.""","[""'Usability'""]",0.944722725
"""We have also tried the JNDI route, which ends with the need for stubs for all shared interfaces.""","[""'Others'""]",0.38635413
"""@Kelly: You're welcome :).""","[""'OnlySentiment'""]",0.649536877
"""java.nio is much more efficient, but can be hairy to code around.""","[""'Performance'""]",0.735372681
"""If you are going to build ontology-based search engine**, I recommend you reading URL_http://www.springerlink.com/content/462t8871w5255l13/ [this] paper on ontology-based interpretation of keywords, that shows some tendencies in user's habits ( URL_http://videolectures.net/iswc07_tran_obi/ [video-version] ).""","[""'Documentation'""]",0.943371925
"""Welcome to Stack Overflow.""","[""'Community'""]",0.832709583
"""The easiest way for you that I see is to use concept tagging** from URL_http://www.alchemyapi.com/api/ [AlchemyAPI] .""","[""'Usability'""]",0.264963857
""";).""","[""'Others'""]",0.403266466
"""This is Java.""","[""'Others'""]",0.292087759
"""It seems that there is no documentation on the web site at all.""","[""'Documentation'""]",0.104949954
"""What is the difference between swing and awt?""","[""'Others'""]",0.522250189
"""As described URL_http://www.kdgregory.com/index.php?page=java.logging [here] , I like to use a LogWrapper object to provide custom stringification (important), and minimize the visual clutter of logging statements (less important).""","[""'Usability'""]",0.477905195
"""JAXB Bindings File Sets @XmlElement type to String instead of XMLGregorianCalendar.""","[""'Usability'""]",0.160573973
"""I have tried padding it out to 256 bits, but then I get an error saying that the key is too long.""","[""'Bug'""]",0.383888059
"""The latest version includes URL_https://visualvm.dev.java.net/ [VisualVM] for profiling.""","[""'Others'""]",0.455946257
"""(why not?""","[""'Others'""]",0.363910467
"""Right now, I've got real-time measurements updating in my browser, and just one connection (I think).""","[""'Others'""]",0.663271957
"""@TomHe means jdk1.4+ dont be silly.""","[""'OnlySentiment'""]",0.162632874
"""If you're looking for a simple stable implementation of a NoSQL DB system, look no further than Apache (they have over 10 years of development experience).""","[""'Performance'"", ""'Usability'""]",0.575617155
"""@smilepleeeaz What you describe makes no sense.""","[""'OnlySentiment'""]",0.665192783
"""Of course, since we can't turn off the debugger, we'll only use it to gather data before killing off a sick application.""","[""'Usability'""]",0.07135481
"""E.g.""","[""'Others'""]",0.065958098
"""While jOOQ supports a String based approached there are some quirks.""","[""'Bug'""]",0.073354048
"""It is referring to PKCS PBKDF2 (Password-Based Key Derivation Function ""","[""'Others'""]",0.304426665
"""When you are using String, you are making a new String each time you are adding 2 of them.""","[""'Others'""]",0.768908351
"""Like I said, it's not free but given the time it would take to make these things yourself your'e probably better off using something that is already made.""","[""'Legal'""]",0.710355359
"""Swing is part of the java foundation classes.""","[""'Others'""]",0.343904639
"""This approach is valid in many cases, especially when your code must run on an arbitrary platform.""","[""'Portability'""]",0.264202452
"""I seems to me that the finally block does not know variables defined in the try block.""","[""'Others'""]",0.38387655
"""A package that purports to offer security without requiring an understanding of the underlying principles seems dangerous prima facie.""","[""'Security'""]",0.789376612
"""That's what I'm looking for.""","[""'OnlySentiment'""]",0.467626501
"""Use URL_http://en.wikipedia.org/wiki/Advanced_Encryption_Standard [Advanced- Encryption-Standard] (AES).""","[""'Usability'""]",0.803945128
"""As you can see, I also added suitable code for the CODETERM1 case.""","[""'Usability'"", ""'Others'""]",0.331816313
"""I can't speak to the legal ramifications of doing so (your software might be illegal to import into certain regions).""","[""'Legal'""]",0.493493762
"""Using lineStr.getBytes().length ?""","[""'Others'""]",0.833204513
"""For desktop programs, yes, Swing is heavily in use.""","[""'Usability'""]",0.317596146
"""Each WAR is effectively independent -- their own sessions, there own context paths, etc.""","[""'Others'""]",0.346787858
"""The problem with this approach I find is it does not handle CR/LF translations too well.""","[""'Bug'""]",0.424623912
"""Well, json.org default lib is rather rudimentary.""","[""'Usability'""]",0.441924924
"""(Yes, ActiveMQ supports it too, but waggly IMHO.""","[""'Usability'""]",0.600127312
"""See URL_http://www.cowtowncoder.com/blog/archives/2009/08/entry_305.html [this- blog-entry] for more details.""","[""'Documentation'""]",0.555622567
"""@Rich Oh, it was said in one of the answers comments.""","[""'Others'""]",0.556694436
"""@BalusC : Actually I need to convert mysql data to json (xml) and vice-versa.""","[""'Others'""]",0.738194395
"""JAXB is part of JDK standard edition version 1.6+.""","[""'Others'""]",0.546136476
"""Changed to use StringBuilder.""","[""'Usability'""]",0.897140677
"""In defense of Sun it wasn't their code, but came from Taglient.""","[""'Others'""]",0.810181541
"""I tried to give help and some ideas - I thought that would be requested.""","[""'Others'""]",0.193113455
"""Does JBoss Seam work well on Glassfish?""","[""'Compatibility'""]",0.107117562
"""Use byte APIs (e.g.""","[""'Usability'""]",0.469225797
"""However, it doesn't work very well.""","[u""'Usability'""]",0.377893678
"""I haven't ever really seen it being used in projects.""","[""'Usability'""]",0.863227972
"""that format is TXT and I wanted to convert all those files to objects.. something like ORM.""","[""'Others'""]",0.193485016
"""It doesn't really much matter.""","[""'OnlySentiment'""]",0.756820032
"""Do you use it?""","[""'Others'""]",0.782463005
"""It used to be relevant... 10 years ago.""","[""'OnlySentiment'""]",0.293478124
"""Getting Access to HttpServletRequest object in restful web service.""","[""'Others'""]",0.511439391
"""I know I'm late to the party here...but I'm currently frustrated with the Java APIs lack of examples.""","[""'Documentation'""]",0.82199592
"""Answering my own question since this got resurrected for some reason.""","[""'Others'""]",0.333957686
"""@mP.""","[""'Others'""]",0.714614106
"""Gson is great.""","[""'OnlySentiment'""]",0.496463101
"""Oddly, the only decent JSON processor mentioned so far has been GSON.""","[""'OnlySentiment'""]",0.952357045
"""After a couple of screens and a little research I am just as productive.""","[""'Others'""]",0.241307248
"""- Means you could extend the tool to create a Iris Search database - I could take another iris image and try to match with existing image Image acquisition is not available.""","[""'Usability'""]",0.362704282
"""This method requires Java 6.""","[""'Compatibility'""]",0.554820974
"""] .""","[""'Others'""]",0.49277506
"""I used it 3-4 years ago for a small project, even then it was almost mature.""","[""'Usability'""]",0.866574879
"""It always a good idea to hide underlying implementation.""","[""'Others'""]",0.871934853
"""Alternatively, what is a good abstraction layer/solution (free of charge) that abstracts between multiple database implementations including google app engine and my application for db access.""","[""'Compatibility'""]",0.655530915
"""The problem with QueryDsl is that you can't use it as a pure query generator as it does not give you the generated query itself.""","[""'Bug'""]",0.399674579
"""I would choose between 2 options: 1) URL_http://en.wikipedia.org/wiki/Berkeley_DB [Berkeley-DB] : it's very mature and at the same time very simple key-value storage.""","[""'Usability'"", ""'Others'""]",0.932600714
"""I don't know why we haven't got web services in java tied down yet.""","[""'Others'""]",0.357536759
"""If SWT is missing a feature that you need, the framework is somewhat hostile to extending it.""","[""'Usability'""]",0.416371522
"""First ,you have to know the encoding of string that you want to convert.Because the java.io.InputStream operates an underlying array of bytes,however,a string is composed by a array of character that needs an encoding, e,g.""","[""'Others'""]",0.560034689
"""When I've set these up I guess to see that everything works I set the logging level to INFO as it's fairly certain that all three of the frameworks output some information in that mode?""","[""'Usability'""]",0.340350414
"""XML is fully supported in standard library.""","[""'Usability'""]",0.894552204
"""In fact, it's not a matter of fine or not; it's a matter of which is CORRECT.""","[""'Others'""]",0.255009808
""" ""","[""'Others'""]",0.596395651
"""Hi fuzzy lollipop,I do not understand your intension.""","[""'Others'""]",0.330716215
"""Usually, there seems to be 1 of the 3 threads that is behind** significantly.""","[u""'Performance'""]",0.861406505
"""Visual editor has thisfeature that it generates manageable, readable, editable, and easy tounderstand code.""","[""'Usability'""]",0.498305437
"""CODESNIPPET_JAVA1 .""","[""'Others'""]",0.582495459
"""Check out URL_http://www.rgagnon.com/javadetails/java-0542.html [this] tutorial, it's a really basic example.""","[""'Documentation'""]",0.754211387
"""Methods that use the platform default encoding are almost never correct to use, like every other method that gives different results depending on which machine/operating system/platform or version thereof it is run on.""","[""'Usability'""]",0.770635964
"""Just went through this exercise.""","[""'Others'""]",0.518929372
"""UPDATE: A year ago I started actually using Jackson and I can confirm that it is awesome :-).""","[""'Usability'""]",0.396023691
"""It may take just a bit to get your head around some of the concepts initially, but Shiro does a very good job of hiding as much of the complexity as possible.""","[""'Usability'""]",0.966874342
"""For example, if you're getting the body of an HTTP request via it's just request.getReader() )**.""","[""'Others'""]",0.086830768
"""OK, these benefits might not seem so much when you're only dealing with simple webapps.""","[""'Usability'""]",0.640569906
"""With a modern 64-bit OS you can have hundreds of thousands of threads.""","[""'Others'""]",0.01980445
"""It's old but should help with the JAAS basics.""","[""'Documentation'""]",0.006455219
"""It should be able to show the growth of memory.""","[""'Others'""]",0.929931472
"""Are they mostly the same bits and pieces or random?""","[""'Others'""]",0.382606609
"""But this led to several new problems: 1) Security manager denies access to RMI classloader, so the client failed once we tried to invoke methods on the JNDI resource.""","[""'Security'"", ""'Bug'""]",0.89932886
"""That's a good point alex!.""","[""'OnlySentiment'""]",0.568470023
"""Maybe in a later version of the app it will be removed for a faster solution.""","[""'Performance'""]",0.504241968
"""URL_http://stackoverflow.com/a/1943667/831203 [RESTlet] ) the overhead for running the library is low (I have had bad experiences with reflection solutions in other libraries) it is well documented it is well adopted In such a scenario, I find that using a library would add value to my project for the effort required to use it.""","[""'Documentation'""]",0.510825394
"""Secondly, imho the most simple, setup & go library for JAAS is Jboss URL_http://www.jboss.org/picketbox [PicketBox] .""","[""'Usability'""]",0.682142674
"""For example URL_http://svn.apache.org/viewvc/activemq/camel/trunk/components /camel-rest/src/test/java/org/apache/camel/rest/resources/EndpointsTest.java?r evision=700513&view=markup [here-is-a-unit-test-case] from the URL_http://activemq.apache.org/camel/ [Apache-Camel-project] which looks up XML payloads from a RESTful resource (using the JAXB object Endpoints).""","[""'Usability'""]",0.420888497
"""Contrary to a popular misconception HTTP is a fairly complex protocol.""","[""'Usability'""]",0.893016284
"""I'm sorry.""","[u""'OnlySentiment'""]",0.526737182
"""CODESNIPPET_JAVA1 .""","[""'Others'""]",0.226877645
"""Also there are some issues that your facade would have to handle that commons logging already does.""","[""'Usability'""]",0.175346493
"""Yes, you did : ).""","[u""'Others'""]",0.307424875
"""Any errors in the management process of the Java security model will obviously lower the security of the system.""","[""'Security'""]",0.450962513
"""HttpClient 4.x performance seems to be quite all right compared to HUC and other clients.""","[""'Usability'""]",0.828451068
"""A comment on issue 232 includes the possible changes necessary to enable getter support.""","[""'Usability'""]",0.25465845
"""The example is at : URL_http://forums.sun.com/thread.jspa?messageID=4164916 [ URL_http://forums.sun.com/thread.jspa?messageID=4164916 ] .""","[""'Documentation'""]",0.692939527
""" I am the founder of log4j, slf4j and logback projects but unaffiliated with log4j 2.0.""","[""'Others'""]",0.26665202
"""I will have to go with Glassfish on this.""","[""'OnlySentiment'""]",0.445188428
"""Important Update: The app is developed in Java so ideally the Data Abstraction Layer or any alternatives must be ""Java friendly"".""","[""'Compatibility'""]",0.110943534
"""I like the URL_http://www.netbeans.org/features/java/swing.html [Swing-GUI- Builder] from the URL_http://www.netbeans.org/ [NetBeans-IDE] .""","[""'OnlySentiment'""]",0.130736422
"""Also, you can still use Spring for much of your work, as I understand, but I'm not a Spring person so I can not speak to the details.""","[""'Usability'""]",0.803101684
""""" twice to stdout.""","[u""'Others'""]",0.768991019
"""A parser is just that, a parser, it won't interpret your page.""","[""'Usability'""]",0.048088683
"""They're defined in org.xml.sax.ContentHandler and there's an empty helper class DefaultHandler.""","[""'Others'""]",0.493888252
"""+1 - Just because a standard is 5 years old doesn't mean implementations of that standard don't continue to release new versions which are faster, more robust, and contain extensions.""","[""'Performance'"", ""'Usability'""]",0.309282019
"""We have used it in few projects without problems.""","[""'Usability'""]",0.478413201
"""I tried it briefly and was impressed by what it can offer as an RIA (Rich Internet Application) framework _ala_ Flash.""","[""'Usability'""]",0.780798457
"""I would like to use named entity recognition (NER) to find adequate tags for texts in a database.""","[""'Usability'""]",0.546470448
"""Swing button vs AWT button?""","[""'Others'""]",0.266627032
"""Check URL_http://stackoverflow.com/questions/779519/delete-files-recursively- in-java [this] question .""","[""'Others'""]",0.18285835
"""But this just encourages programming that spots the bug in the wrong place.""","[""'Bug'"", ""'Community'""]",0.297622204
"""I don't really know Java, but ""InputStream "" seems wrong.""","[""'OnlySentiment'""]",0.848846111
"""@coolcfan - I do agree with you on that point.""","[""'OnlySentiment'""]",0.234574816
"""Yes that looks like a more suitable way to use it.""","[""'Usability'""]",0.455787659
"""You can also check URL_http://www.restlet.org [Restlet] which has full client- side capabilities, more REST oriented that lower-level libraries such as HttpURLConnection or Apache HTTP Client (which we can leverage as connectors).""","[""'Others'""]",0.924341687
"""?""","[""'Others'""]",0.550680983
"""I can recommend URL_http://json-lib.sourceforge.net/ [ URL_http://json - lib.sourceforge.net/] .""","[""'OnlySentiment'""]",0.40184497
""" swing works faster.""","[""'Performance'""]",0.321415862
"""URL_http://www.mongodb.org/downloads [MongoDB] for example, seems to have everything you need in terms of compatibility and is very easy to set up.""","[""'Usability'""]",0.365634716
"""Here is how to redirect everything to SLF4J: remove CODETERM1 from your classpath.""","[""'Others'""]",0.212571929
"""If you need the authorization part for managing repository access, in terms of ACL for resources, this is what you are looking for sure.""","[""'Usability'""]",0.952622208
"""Continue down the chain to figure out where your NPE is occurring, without having to change your code.""","[""'Others'""]",0.836862714
"""and then I need to things like search/validate/create/read.""","[""'Others'""]",0.240129876
"""It works with any reader or input stream (not just with files), for example when reading from a URL.""","[""'Usability'""]",0.628218909
"""To be honest Collections needs a toString method too, but this works also.""","[""'Usability'""]",0.472824376
"""This would allow a more focused answer...""","[""'Documentation'""]",0.771684625
"""JFormDesinger is the most polished GUI Builder I've ever seen.""","[""'Usability'""]",0.223148139
"""Unfortunately, when I generate the code using a CODETERM4 file, the above code looks like this: CODESNIPPET_JAVA3 .""","[""'Others'""]",0.493003859
"""It will stream in the data so it doesn't need to preload the whole file first.""","[""'Usability'""]",0.638144629
"""At this writing, this answer has the most upvotes, and ought to have the current correct answer in it, so I have updated it accordingly.""","[""'OnlySentiment'""]",0.815145425
"""Here's a complete Java 7 program: CODESNIPPET_JAVA1 .""","[""'Others'""]",0.155614989
"""IDE for Swing.""","[""'Others'""]",0.905098104
"""related to [Breaking out of the Google App Engine Python lock- in?""","[""'Others'""]",0.671874233
"""Select - Work With: Juno - URL_http://download.eclipse.org/releases/juno [ URL_http://download.eclipse.org/releases/juno ] 3.""","[""'Others'""]",0.357871333
"""The dataset size is fairly small and we do not want to use a RDBMS if possible.""","[""'Usability'""]",0.090665658
""" Create your own mini-library which contains functions you use often.""","[""'Usability'""]",0.212369853
"""- The Image should be 320x280 windows bmp greyscale 8 bit indexed image.""","[""'Others'""]",0.083005034
"""It also has a index overlay mode that is even faster.""","[""'Performance'""]",0.17826635
"""What kind of conversions are possible there?""","[""'Others'""]",0.38803585
"""The Scanner constructor that accepts a String doesn't treat the string as the name of a file to read, but as the text to be scanned.""","[""'Others'""]",0.560454388
"""URL_http://www.terracotta.org/web/display/orgsite/Hibernate+Integration [This-link] explains more.""","[""'Documentation'""]",0.018621434
"""It creates Java objects for the schema and creates easy to use parse methods.""","[""'Usability'""]",0.526848956
"""CODESNIPPET_JAVA1 .""","[""'Others'""]",0.455352579
"""The answers to this question only work if you want to read the stream's contents _fully_ (until it is closed).""","[""'Usability'""]",0.357646966
"""In such a context, the applet serves as a mechanism for accessing the JCA libraries in Java, apart from accessing the USB store.""","[""'Others'""]",0.638824422
"""Anyone knows some good SQL builder library for Java like URL_http://code.google.com/p/squiggle-sql/ [Squiggle] (not maintained anymore it seems).""","[""'Others'""]",0.346368647
"""Ideally with try/finally...""","[""'Others'""]",0.730515826
"""What didn't you find at Java Almanac?""","[""'Others'""]",0.43161487
"""In order to make your code work, I had to use this.getClass().getClassLoader().getResourceAsStream() (using Eclipse with a maven project).""","[""'Usability'""]",0.046644864
"""It doesn't matter what its ""main"" job is, as long as it does what you want it to do.""","[""'Usability'""]",0.120637164
""" If your string can change, and will be accessed from multiple threads, use a CODETERM12 because CODETERM13 is synchronous so you have thread-safety.""","[""'Performance'""]",0.726795263
"""At what point is it better to switch from java.net to java.nio?""","[""'Others'""]",0.335726892
"""JDialog and JFrame areheavyweight, because they do have a peer.""","[""'Performance'""]",0.049870241
"""I've accepted an answer that taught me excactly when to chain getters: If they cannot return null, chain them as long as you like.""","[""'Documentation'"", ""'Usability'""]",0.655504575
"""OAuth2 is a great approach to ensure that each logged in user receives their own access token that you can track and manage.""","[""'Security'""]",0.112780884
"""Forgive me for reviving a comment this old, but did you mean to pass in a String object called ""file"", or should that be a File object instead?""","[""'Usability'""]",0.960277226
"""Thank you.""","[""'OnlySentiment'""]",0.047483342
"""I just want to explore some of the new NoSQL DB systems and the programming model associated with them.""","[""'Others'""]",0.248314621
"""For example, you can't extend any class in it (the classes aren't final, they just throw exceptions when the package of CODETERM1 isn't CODETERM2 and you can't add new classes in that package because it's signed).""","[""'Bug'"", ""'Usability'""]",0.097625521
"""I would hazard a guess that any performance loss would be small, or could be handled by every once in a while logging them to a file and destroying the old String obj's.""","[""'Performance'""]",0.143279195
"""I had to add if (is null) return """"; right at the beginning of the method; I believe this answer needs to be updated to better handle null inputStreams.""","[""'Documentation'""]",0.783807028
""" Works with existing code and doesn't lock you in (as opposed to Netbeans) Works with MiGLayout It does have some conventions that your view classes have to follow though Installing in Eclipse (Juno): 1.""","[""'Usability'""]",0.562394404
"""Code with SLF4J, and choose backend at runtime.""","[""'Others'""]",0.836149413
"""If all you are going to be doing is a ""service"" that returns text that is driven by URL parameters, so plain text returns, is a framework necessary?""","[""'Others'""]",0.765705308
"""Simple, clean.""","[""'Usability'""]",0.586670678
"""Java has come with built-in implementations for SAX and DOM for ages.""","[""'Usability'""]",0.985437748
"""In this case, generate the salt with a cryptographic random number generator each time the password is changed.""","[""'Security'""]",0.773120878
"""To save anyone the hassle of Googling - org.apache.commons commons-io 1.3.2 .""","[""'Others'""]",0.076148845
"""You should always indicate the mode and padding algorithm.""","[""'Others'""]",0.587324017
"""3. why should you remove timezone??""","[""'Others'""]",0.812418678
"""Async request like AJAX: URL_http://hc.apache.org/httpcomponents-asyncclient- dev/ [ URL_http://hc.apache.org/httpcomponents-asyncclient-dev/ ] Sync request: URL_http://hc.apache.org/httpcomponents-client-4.0.1/index.html [ URL_http://hc.apache.org/httpcomponents-client-4.0.1/index.html ] Cookies is A kind of Header.""","[""'Others'""]",0.902142853
"""MySQL, Postgre, HyperDB, whatever.""","[""'Others'""]",0.163784708
"""for more details .""","[""'Others'""]",0.012259452
"""It's in the class org.apache.commons.io.FileUtils.""","[""'Others'""]",0.698343717
""" put CODETERM2 in your classpath (it comes in the SLF4J distribution).""","[""'Others'""]",0.823881782
"""Jersey does seem to mach the requirements quite adequately, although I have not given other frameworks enough investigation yet.""","[""'Usability'""]",0.52186586
"""Instead, Gson uses reflection to directly reference the fields.""","[""'Usability'""]",0.240667551
"""What is todays de-facto-standard framework and which tools do you utilize to create java gui applications?""","[""'Others'""]",0.597409927
""" If you need a parser there should be a parser in the code base of URL_http://db.apache.org/derby/ [Apache-Derby] .""","[""'Others'""]",0.45885791
""" Session/Proxy coordination management.""","[""'Others'""]",0.132612095
"""Still under development.""","[""'Others'""]",0.613692696
"""So JIDE has created their own components based on Swing...""","[""'Others'""]",0.294437295
"""The link [ URL_http://www.antlr.org/grammar/list](http://www.antlr.org/grammar/list ) is broken.""","[""'Documentation'""]",0.559927446
"""What is the easiest way to take the CODETERM5 and convert it to a CODETERM6 ?""","[""'Usability'""]",0.962998302
"""Java multithreaded file downloading performance.""","[""'Performance'""]",0.245963217
"""Works with Spring way of doing things, or is at least easy to make it work with Spring 3.""","[""'Compatibility'"", ""'Usability'""]",0.451015192
"""thats madness...""","[""'OnlySentiment'""]",0.309332522
"""A better Java JSON library?""","[""'OnlySentiment'""]",0.391994303
"""What was hard to understand in the security world is just that much easier to understand.""","[""'OnlySentiment'""]",0.558975612
"""Such as hard drive, flash-card, smart-card, eToken, iKey, etc.?""","[""'Others'""]",0.221862623
"""When we reinvent the wheel, we work twice as hard yet get to the finish line much later.""","[""'Performance'""]",0.087247644
"""swing+javafx+wpf+qml [1-out-of-120-questions] on StackOverflow is about Swing!""","[""'Others'""]",0.296641649
"""Also, there is a method that only take a inputStream argument, if you are find with the default encoding.""","[""'Others'""]",0.68288287
"""Just loop through the file, write every line immediately to other file as you read in, count the lines and if it reaches 100, then switch to next file, etcetera.""","[""'Others'""]",0.515360826
"""It generates clean source code, with good patterns and easy to patch/modify/extend.Unfortunately, it is not very stable.""","[""'Performance'"", ""'Usability'""]",0.722361947
"""URL_https://cwiki.apache.org/PIVOT/frequently-asked-questions-faq.html [ URL_https://cwiki.apache.org/PIVOT/frequently-asked-questions-faq.html ] URL_http://en.wikipedia.org/wiki/Qt_Jambi [Qt-Jambi] A java wrapper to the native qt library which is written in c/c++.""","[""'Others'""]",0.313992326
"""]( URL_http://stackoverflow.com/questions/6659413/what-are-the-main-things - that-an-experienced-java-swt-programmer-should-be-aware/6661296)..""","[""'Others'""]",0.395203614
"""Secure Debugging for Production JVMs.""","[""'Security'""]",0.152057258
"""FWIW, our code started with java.net.HttpURLConnection, but when we had to add SSL and work around some of the weird use cases in our screwy internal networks, it became a real headache.""","[""'Usability'""]",0.275459791
"""Doing all that stuff directly at the level of a servlet would be a lot of work, but JAXRS lets you focus much more on the resources within your application.""","[""'Usability'""]",0.229831418
"""Would appreciate any links.""","[""'Documentation'""]",0.849623719
"""My only gripe is version 1.1 doesn't have a way to get a relationship between two nodes by providing a method getRelationship(node1, node2).""","[""'Usability'""]",0.072237516
"""What's wrong with the standard stuff?""","[""'Others'""]",0.551451742
"""any ideas about performance of Scanner vs reading the stream in a more verbose way?""","[""'Performance'"", ""'Usability'""]",0.524536041
"""The fact that they've been consistent in java based software development for over 10 years and with huge support shows that they are a ""trustworthy"" organization.""","[""'Community'""]",0.404460061
"""I suppose a third option is to use MINA, but I'm not sure if that's throwing too much at a simple problem.""","[""'Usability'""]",0.871511914
"""You didn't explain your answer very well, and had extraneous variables; user359996 said the same thing as you, but much more clearly.""","[""'Documentation'"", ""'Community'""]",0.507317805
"""@jjinguy what IP address should we put for CONNECTION_ADDRESS if the computers are not in a LAN?""","[u""'Others'""]",0.476456764
"""If you're having to get to the point where you're splitting up the line or doing elaborate debugging to spot the problem, then that's generally God's way of telling you that your code isn't checking for the null early enough.""","[""'Usability'""]",0.904414206
"""I don't get you.""","[""'OnlySentiment'""]",0.264898599
"""CODESNIPPET_JAVA1 .""","[""'Others'""]",0.046870213
""" Don't give wings to rumors.But as an alternative you can use URL_http://javafx.com/ [JavaFx] or URL_http://www.eclipse.org/swt/ [swt] or URL_http://buoy.sourceforge.net/ [buoy] .""","[""'Usability'""]",0.743765369
"""I find the pull metaphor much more usable than the event metaphor, and creating a document tree using pull is trivial.""","[""'Usability'""]",0.353477576
"""@S.Lott - There is nothing wrong with flat files for a simple app.""","[""'Usability'""]",0.990346491
"""I found this piece of code more understadable and working: CODESNIPPET_JAVA1 .""","[""'Usability'""]",0.155097883
"""Comments do not give much space to provide the examples, but you're welcome to review them at URL_http://docs.jboss.org/hibernate/core/3.5/reference/en/html/querycriteria.html .""","[""'OnlySentiment'""]",0.982308091
"""So I need a nice abstraction through interfaces or something like that.""","[""'Usability'""]",0.511686911
"""2.""","[""'Others'""]",0.13578626
"""I have my own logging engine which writes the logs on a separate thread with a blocking queue.""","[u""'Others'""]",0.162100161
"""Examples shamelessly copied from some old lecture slides ;-) Edit: About ""which API shoild I use?"".""","[""'Documentation'""]",0.547605036
"""Should handling doPost in a httpservlet never be done?""","[""'Others'""]",0.890332753
"""Looking for an embeddable SQL beautifier or reformatter.""","[""'Others'""]",0.852127341
"""It doesn't take long to code, and is quite efficient, in my opinion.""","[""'Performance'""]",0.041961679
"""Also, depending on database platform, details needed and authorization levels used the results yielded might differ.""","[""'Compatibility'""]",0.134564308
"""Note that the second parameter (i.e.""","[""'Others'""]",0.297694362
"""I ran some timing tests because time matters, always.""","[""'Performance'""]",0.30643193
"""Code above has a bug of adding extra new line char at the last line.It should be something like followingif(line reader.readLine() ) != null){ stringBuilder.append( line );}while (line reader.readLine() ) != null) { stringBuilder.append( ls ); stringBuilder.append( line );}.""","[""'Bug'""]",0.310840501
"""It might be that the XPath term in your Binding is not finding the required element.""","[""'Others'""]",0.89190966
"""Don't forget to add the JAR CODETERM1 to the classpath.""","[""'Others'""]",0.042180115
"""If it's a text file why not use apache commons-io?""","[""'Usability'""]",0.184233336
"""I wrote a method for this sometime back.""","[""'Others'""]",0.653254639
"""Anyway, the answers are: Which algorithm should I use?""","[""'Usability'""]",0.51414115
"""This is how its used: 1.""","[""'Usability'""]",0.725042504
"""From the javadocs: Note that while some implementations of InputStream will return the total number of bytes in the stream, many will not.""","[""'Documentation'""]",0.913546478
